No,日付,時刻,ツイート
1,2014/08/01,14:48,数十人のロシア兵に囲まれた高田健志は「こういう最期も悪くない」と呟き、一杯のウォッカを口に含んだ
2,2014/08/01,15:11,高田健志が指揮を執ると、それまで不調だったオーケストラがたちまち七色の音色を奏で出し、舞台上に虹がかかった
3,2014/08/01,15:24,猟師歴40年のA氏は森でキノコを食らう高田健志の目を見て「ありゃバケモンだ」と銃を下ろした
4,2014/08/01,15:55,周りの芸人たちが我先にと和田アキ子に挨拶をする中、高田健志は楽屋の隅で黙々とソーシャルゲームをしていた
5,2014/08/01,16:08,全国の小学生1000人に将来の夢についてのアンケートを取った所、約80％が「高田健志」と回答した
6,2014/08/01,21:21,神は自らの姿に似せて高田健志を作り、余った粘土でアダムとイヴを作った
7,2014/08/01,23:38,初代内閣総理大臣「伊藤博文」、第二代内閣総理大臣「黒田清隆」、第三代内閣総理大臣「高田健志」
8,2014/08/02,7:07,桃から生まれた高田健志は鬼を退治することよりも、きび団子で一儲けすることを考えた
9,2014/08/02,8:03,あまり知られていないがダウンタウンは結成当初、浜田雅功、松本人志、高田健志の3人組だった
10,2014/08/02,12:38,高田健志の体の60％は水分でできている。宗教学的には神だが、生物学的にはヒト科に属する。
11,2014/08/02,17:56,その昔、一国の王子だった高田健志は欲望ひしめく王位継承争いに嫌気が差し、あえて土や草を食べる生活を選んだ
12,2014/08/02,21:02,大災害を予知した高田健志は国に危険が迫っていることを伝えようと奔走したが、愚かな民衆たちは彼を狼少年呼ばわりし、十字架に磔にした
13,2014/08/02,23:02,高田健志は不老不死の肉体を保つために年に一度脱皮する。その抜け殻を見た者は子宝に恵まれるという。
14,2014/08/03,7:20,難病の子どもにホームランを打つ約束をした高田健志は、その日の試合全打席デッドボールで出塁した
15,2014/08/03,12:21,バラエティ番組で高田健志と共演した司会者は皆、「高田君がひな壇にいると安心する」と彼のトークスキルを絶賛した
16,2014/08/03,17:52,幕末にタイムスリップした脳外科医・高田健志は自身の体に生えていた青カビを培養し、ペニシリンを精製した
17,2014/08/03,20:16,面倒見の良い高田健志は、収録終わりに後輩芸人たちをマンホール下の自宅に招き入れては、ネズミ料理を振る舞う
18,2014/08/03,22:23,豊臣秀吉は懐で温めた草履を織田信長に差し出した。一方、デキる男・高田健志は温めた草履にサイン入り色紙まで付けた。
19,2014/08/03,23:42,"「健志…いるか…？」「いるで」
「健志…いるか…？」「いるで」
「最後に…名前を呼んでくれないか…？」
「ほんまごめん…メルエム…」(H×H 318話より)"
20,2014/08/04,7:54,ハリウッドは一度「高田健志」の映画化を試みたが、高田役のトム・クルーズの関西弁が下手くそだったため、お蔵入りとなった
21,2014/08/04,12:28,高田健志の胃袋は長年のサバイバル生活によって進化を遂げた。その胃酸はダイヤモンドをも溶かす。
22,2014/08/04,16:11,太陽に近づきすぎたイカロスは翼を焼かれ海に落ちてしまったが、日焼け止めクリームを忘れなかった高田健志はその横を悠々と飛び去った
23,2014/08/04,20:07,高田健志の最終学歴が幼稚園なのは、産声を上げると同時にこの世の全てを理解してしまったため、これ以上学ぶことがないからである
24,2014/08/04,22:55,新種の生物と間違えられ動物園に捕えられた高田健志は、その巧みな話術を以て檻の中から逆に飼育員を飼いならした
25,2014/08/05,0:28,眠れない夜は「高田健志が1匹…高田健志が2匹…」と数えてみる。すると100匹目辺りで「すべるんやー」とお茶目な健志が現れ、目が覚める。
26,2014/08/05,12:02,経営不振に陥っていた老舗和菓子屋の店主は、全ての商品名に「高田健志が絶賛した」を付けてみた。たちまち店は以前の活気を取り戻し、多くの報道陣が連日取材に訪れた。
27,2014/08/05,15:12,高田健志は夜になると発光する。電気のない時代、灯油を買うお金がないほど貧しかった少年は高田健志を明かり代わりに勉強を続け、後に政府高官となった。
28,2014/08/05,18:15,情報を何一つつかめないCIAをあざ笑うかのように高田健志は顔出し配信で口座番号を公開し、国家転覆に向けて資金を募った。
29,2014/08/05,20:21,ゲームセンターを初めて訪れた高田健志は、殴られるためだけに存在するパンチングマシーンという機械に、暴力で奪い取る人間の愚かな本性を垣間見た気がして涙した。
30,2014/08/05,23:09,高田健志に出会った獰猛なグリズリーは一目見て実力の差を悟り、死んだふりをした
31,2014/08/06,7:15,3分クッキングに出演した高田健志は開始1分で満漢全席をこしらえ、残った2分は鳥と共に愛を歌い、花を愛でた
32,2014/08/06,12:48,高田健志は宇宙そのものだ。地球は彼の胃袋の中に在り、我々はただ消化されるのをじっと待つ肉の塊でしかない。我々はその全体像を把握できないまま、緩慢な死を迎えるのだ。
33,2014/08/06,15:58,金魚すくいの屋台で「一匹すくえた、二匹すくえた」と一喜一憂する子どもたちの横で高田健志は、プールに定置網をしかけ一網打尽にした
34,2014/08/06,21:51,当時小学生だった高田健志は少しでも多くの人を救おうと熱心に赤い羽根募金を続けた。最初は1枚だった赤い羽根が10枚、20枚と増え、二十歳を迎えた頃それは大きな翼となり、彼は大空を舞っていた。
35,2014/08/06,23:58,ふらりと立ち寄った定食屋で口にした味噌汁の素朴な温かさから、人間の心を取り戻した人斬り・高田健志は、血に染まった刀を包丁に持ち替え、料理人となった。
36,2014/08/07,7:28,高田健志はＴシャツに短パン、虫取り網という軽装で極寒のエベレストに登頂し世界中を驚かせたが、当の本人は目当てのカブトムシが採れず満足していない様子だった
37,2014/08/07,12:03,高田健志の個体数減少を受けて日本政府は彼を絶滅危惧種に指定するなどして保護を試みてはいるも、依然として密猟者による乱獲が後を絶たないという。我々が日頃目にしている高田健志は日本最後の個体かもしれない。
38,2014/08/07,16:31,高田健志の背には生まれつき大きな十字架型のアザがある。はたから見るとまるで入れ墨なので、彼の入浴を禁じる温泉旅館は数多い。
39,2014/08/07,20:28,「この橋渡るべからず」の立て看板を見た高田健志は、すぐさま優秀な建築スタッフを雇って隣に新しい橋を作り、一休を感服させた
40,2014/08/07,22:09,産卵の時期を迎えた高田健志は、それまで生活していた海から生まれ古郷の川へ戻るために、クロールで滝を登る
41,2014/08/08,0:06,パリコレに甲冑姿で現れた高田健志は舞台上で自らの腹を切り、フランス人たちに武士のこころを説いた
42,2014/08/08,7:17,ウォータースライダーに乗ったまま行方不明になっていた高田健志が、ある日の午後、流れるプールの上流からイカダに乗って帰ってきた
43,2014/08/08,13:09,絶対的な審美眼を持つ美術鑑定士はミロのヴィーナスと高田健志が作った牛乳パック製の貯金箱を見比べた後、ハンマーでヴィーナスを砕いた
44,2014/08/08,15:31,高田健志は食事をする際、三度感謝する。例えば一杯のカツ丼を食べるとき。彼はまずその身を捧げた豚に感謝する。次にそれを調理した人間に。最後に高田健志という生命を生み出したこの地球に感謝する。
45,2014/08/08,18:14,優秀だと思われることを嫌った高田健志はその日のテストを全て空欄で提出した。しかし、名前欄に書かれた「高田健志」という文字の美しさに教師陣は軒並み100点をつけ、彼は学年トップの成績を叩き出した。
46,2014/08/08,21:55,無人島に漂着した高田健志は飲み水の確保より先に、まず「ろくろ」を回して湯呑みを作った
47,2014/08/09,0:22,マフィアのボスだった高田健志は荒れていた。酒を飲んでは女を抱き、組織のためなら親でさえ殺した。お花に水をあげている時だけ彼はかろうじて人間だった。
48,2014/08/09,12:37,誕生日に欲しいものを聞かれた5歳の高田健志は、おもむろに世界地図を取り出し、アメリカ大陸を大きな円で囲った
49,2014/08/09,15:41,火を起こそうと試行錯誤する原始人たちを眺めながら高田健志は、IHクッキングヒーターを使って安全にマンモスの肉を焼いた
50,2014/08/09,18:56,二等兵だった高田健志は命を落としては復活を繰り返し、殉職による二階級特進だけで元帥の地位にまで上り詰めた
51,2014/08/09,22:01,いいとものテレフォンショッキングはタモリが高田健志に会うために始めたコーナーである。最終回ゲストはもちろん彼の予定だったが、当日パニックを起こしてしまい、急きょ彼の弟子であるビートたけしが代役を買って出た。
52,2014/08/09,23:32,生来、争いを好まなかった高田健志は、軍から支給されたサバイバルナイフを袋とじを裂くことだけに使い続けた
53,2014/08/10,7:03,同年代の子どもたちが魚釣りや泳ぎに夢中だった頃、高田健志は川底に沈殿した砂利をふるいにかけ、砂金を取り出すことに必死だった
54,2014/08/10,12:02,台風上陸の一報を受けた高田健志はあえて田んぼの様子を見に行くことで自分の運を試した
55,2014/08/10,13:32,穢れた人間の心を奇跡の力で浄化する高田健志は言わば水洗便所だ。それも温かい便座が完備された最新鋭のもので、そのウォシュレットは名うてのスナイパーのような正確さを誇り、狙った獲物を逃さない。
56,2014/08/10,17:05,「老人が元気になる献立を考えてほしい」との要望を受け、管理栄養士・高田健志は白菜、レタス、キャベツにほうれん草、小松菜、ハーブ、そして大麻をふんだんに使った栄養たっぷりの七草粥を考案した
57,2014/08/10,20:47,半沢直樹に出演し、有名になる前の高田健志は、水道代を節約するために泥水で米を炊いていた
58,2014/08/10,22:12,アカデミー主演男優賞を受賞した高田健志はつたない英語で「私の本職は芸人なのでこれで得た知名度を生かしてR1で優勝できたらなと思っています」とあくまで俳優業は趣味であることをアピールした
59,2014/08/11,1:37,オリンピック選手が勝ち取った金メダルの如き輝きを放つスーパームーンも、高田健志が横に並ぶと貧相な梅干しにしか見えなかった
60,2014/08/11,11:37,散歩中に尿意を催した高田健志はトイレを借りるためだけにホワイトハウスを訪問し、ついでに携帯の充電もした
61,2014/08/11,15:22,仕事終わり、一風呂浴びにやってきた高田健志は釜茹でされている石川五右衛門の隣に浸かり、「ぬるい」と一言口にした
62,2014/08/11,18:19,うさぎが居眠りしている間に着実に歩を進め、今まさにゴールしようとしていた亀を高田健志は無慈悲にもバイクで追い抜かした
63,2014/08/11,21:35,収録中、睡魔に襲われた高田健志はその高いプロ意識から自らの腕を切り落として正気を保った
64,2014/08/11,23:20,中東の武器商人だった高田健志は争い合う国々に壊れた銃を売ることで戦争を終わらせた
65,2014/08/12,1:57,輸血用の血液が不足していることを知った高田健志は週6ペースで献血センターに通い続けた。雨の日も風の日も通い続け、時にはセンターをハシゴした。血液のほとんどを失い青白い顔になった頃、彼はもらったあんパンで駅前にパン屋を開いていた。
66,2014/08/12,12:13,禁断の果実を口にしたアダムとイヴと高田健志は裸を恥じらうようになり、アダムとイヴはイチジクの葉で、高田健志はデニム生地で、それぞれ局部を隠すようになった
67,2014/08/12,16:15,優先座席に座っていた若者たちを鼻息で追い払った高田健志は、感謝の言葉を口にする老夫婦と一緒にこっそりその席についた
68,2014/08/12,19:50,素材にこだわる高田健志はハンバーグを作るにあたって、まず牛を育てるのに適した牧草地を探した
69,2014/08/12,22:34,白熱電球と聞くとまずトーマス・エジソンを思い浮かべがちだが、電球に必要な竹を24時間不眠不休で切り続けた高田健志という男の功労も忘れてはならない
70,2014/08/13,1:06,どこから切っても同じ顔になる金太郎飴のように、どの角度からシャッターを切っても同じ宣材写真になる高田健志という芸能人が存在するらしい
71,2014/08/13,12:17,あまり知られていないが全国の電力は高田健志が自転車を漕ぐことによって賄われている。彼が流行り風邪にでもかかると、たちまち日本の都市機能は壊滅する。
72,2014/08/13,16:01,周りの料理人たちが見た目にも豪華なフルコースを用意する中、高田健志は握り寿司一貫で王の舌を満足させた
73,2014/08/13,20:02,聖徳太子は10人の話を同時に聞くことができたとされているが、実際は間にいた高田健志がその場で彼らの話を要約し、的確に太子に伝えていただけであって、太子自身には何の力もなかった
74,2014/08/13,22:28,海辺でいじめられている亀を見かけた高田健志は浦島太郎のように直接手を差し伸べたりはせず、その手に拳銃を握らせ、生き残りたければ自分の力で切り抜けるように焚き付けた
75,2014/08/14,1:08,悟りの境地に達した高田健志は数年間一切の食事を断ち、カプセルホテルの中で即身仏となった
76,2014/08/14,12:17,どんな端役でも全力で演じる高田健志は、わずか5秒しか映らない死体G役においても心臓を30分間止め続ける熱演を見せ、撮影中に救急搬送された
77,2014/08/14,17:17,雪の日に１人、マッチを売り歩く少女を見てこの国の異常さに気づいた高田健志は、少女から買い取ったマッチで貴族の家に火を放ち、王政を打倒すべく開戦の狼煙を上げた
78,2014/08/14,20:28,地上が悪に満ち、人を造ったことを後悔した神は大洪水を起こして人類を滅ぼした。唯一、箱舟への乗船を許可され生き残った高田健志は、誰もいなくなった地球で神と二人、気まずい空気の中、磯釣りをして過ごした。
79,2014/08/14,23:38,アイルランドに住む老婆の話によると、あるハロウィンの夜、自宅に押し寄せた子どもたちは皆、口々に「トリックオアトリート！」とお菓子を欲しがったというのに、高田健志という少年だけは妙に大人びていてブレスケアを欲しがったという
80,2014/08/15,1:32,裁縫技術に長けていた高田健志は縫い針一本で腹を空かせたワニに立ち向かった。彼が針を行ったり来たりさせると、体長5メートルはあろうワニの体が見る見るうちに縮んで行き、やがて一点のクロコダイル財布に仕立て上げられ、翌日店頭に並んだ。
81,2014/08/15,12:18,当時、駆け出し芸人だった高田健志は一年間サバンナで暮らす体当たり企画に挑戦した。翌年、撮影スタッフが彼の元を訪れると、ハイエナの群れの中で何とかして人間性を保とうと、箸を使い、死肉をつまむ、半野生化した彼の姿があった。
82,2014/08/15,17:02,高田健志の耳から石油が湧き出すことに気づいた耳かき屋はこれを売って一山当てようと考えた。最初は儲けた金で生活費を賄う程度だったが、採掘量が増えると、派手な暮らしをするようになった。ある日、不動産契約を済ませた耳かき屋が大喜びで帰宅すると、石油はただの水になっていた。
83,2014/08/15,20:49,"皆さんは戦場に笑いを届けた１人のコメディアンを御存じだろうか？
「高田健志」
彼はジャグリング芸を披露している最中、凶弾に倒れた。
教科書にも載っていない小さな出来事だが、沖縄には彼を祀る祠が存在する。
8月15日、終戦の日。
誰よりも人の笑顔を願った男のことを思い出してほしい。"
84,2014/08/15,23:08,"私がタンスを整理していると、奥から一枚のサイン色紙が出てきた。
ふいに後ろにいた弟が「高田健志のサインだ！」と声を上げた。
それを聞いた父が「懐かしいな」とこぼした。
「全然老けないよねー」と姉が続き、「若い頃好きだったわ」と母も続いた。
高田健志で家族の間に会話が生まれた。"
85,2014/08/16,1:00,周りに自分より優れた人間が存在しなかった高田健志はやむを得ず自らの爪の垢を煎じて飲んだ
86,2014/08/16,12:11,二年前に角界を引退した平成の大横綱・高田健志は今まさにランニングを終えた汗だらけの体で両国国技館を訪れ、感傷に浸りながら土俵にこびり付いた塩で不足していた塩分を補った
87,2014/08/16,17:11,ある時、悪趣味なローマの貴族は高田健志と高田健志に殺し合いをさせてみようと思いついた。すぐさま貴族は奴隷商から二体の高田健志を買い取り、一方に剣を、もう一方に槍を与えた。しかし、高田健志たちは愛について語り合うばかりで全く争おうとはせず、怒った貴族は即日クーリングオフした。
88,2014/08/16,20:24,戦場で高田健志に救われた者の一人は歴史上から抹消された彼の名を刻むために油性マジック片手に慰霊碑へ向かった
89,2014/08/16,22:16,高田健志の右払いに並々ならぬ才能を感じた書道家は彼を弟子に迎えた。書道家の教育はスパルタ極まりないもので、少しでも美しくない右払いをしようならば文鎮で何度も頭部を殴打した。書道家が文鎮を振り上げなくなった頃、彼の右払いは頸動脈をたやすく切断できる切れ味にまで磨き上げられていた。
90,2014/08/17,1:29,ある村でダム建設の案が上がった。村人たちはこれに反発し、高田健志を筆頭に反対派のグループを結成した。最初こそ大所帯だった高田一派だが補償金の額が上がるにつれ、一人、また一人と村を去って行った。そして完工日を迎え、最後まで立ち退かなかった高田健志は念仏を唱えながらダムの底に沈んだ。
91,2014/08/17,10:18,生後三ヶ月にして早くも反抗期を迎えた高田健志は地元の不良ベイビーたちを引き連れ、特殊な改造を施した違法乳母車にラジカセを積み、大音量で国歌を流しながら高速道路を爆走していた
92,2014/08/17,12:30,会場のボディビルダーたちは除夜の鐘をBGMに現れた高田健志の108つに割れた見事な腹筋に「煩悩を筋肉を以て制す」というボディビルの枠組みを越えた一種の悟りを感じ取り、自分たちはただの筋肉自慢でしかないことを思い知らされ、ダブルバイセプスのポーズを取ったままプロテインの涙を流した。
93,2014/08/17,17:33,高田健志の辞書には「勝利」という文字しか存在しない。どのページを開いても一様に「勝利」の解説であるため、辞書としては丸っきり役に立たない。
94,2014/08/17,23:01,穴だらけの相対性理論をさも得意げに語っていたアインシュタインは高田健志が言い放った「それとそれ逆やん」の一言で破綻に気づき、舌を出したまま気絶した
95,2014/08/18,11:55,信じていた友に裏切られた高田健志は両の眼を潰して暗闇の世界で生きることを選んだ
96,2014/08/18,20:19,美術の時間、赤色の絵の具が足りなくなった高田健志は手元にあった彫刻刀で動脈を裂いた
97,2014/08/18,22:53,月から帰還したアポロ11号の船長ニール・アームストロングは月面に「Kenshi Takada」の文字を発見したことを伝え、高田健志が最初の月面着陸者であることを主張したが、プライド高いアメリカ政府はこれを隠ぺいし、自分たちが人類初を名乗るよう指示した
98,2014/08/19,1:33,高田健志崇拝が過熱化した未来では彼のファッション化が社会問題となっていた。老若男女が彼の仕草や佇まいを真似るようになり、整形外科には「高田と同じ顔にしてくれ」と喚く信者たちが昼夜問わず押し寄せた。飽きれ果てた彼は一匹の渡り鳥に姿を変え、地上を捨て、オゾンの向こう側へ消えていった。
99,2014/08/19,19:57,24時間マラソンを走りぬいた高田健志がスタジオでガッツポーズを決めると、世界のどこかで争い合っていた兵隊たちは誰に言われるまでもなく、銃を捨て、手を取り合い、戦場のど真ん中でサライの大合唱を始めた
100,2014/08/19,22:03,高田健志が茶碗を持つと力なく浮かんでいた茶柱が勢いよく飛び上がり部屋の天井に突き刺さった
101,2014/08/19,23:37,喫煙所でタバコをもらった高田健志はその夜、ありのままの姿で恩返しに向かった。恩人宅に着くと扉が開くや否や玄関に転がり込み、「絶対に覗かんといてくれ」と念を押してからトイレに籠った。翌朝、尿意を堪えきれなくなった家主が扉を開けると、便座の上にリストバンドが山のように積まれていた。
102,2014/08/20,1:33,高田健志の胸に聴診器を当てた医者はその心音の美しさに川のせせらぎを連想し、一句詠まずにはいられなかった
103,2014/08/20,7:40,高田健志に生命を吹き込まれた味のないガムは恥ずかしそうに銀紙にくるまりゴミ箱の方へ駆けていった
104,2014/08/20,12:36,高田健志が自転車を漕ぐと錆びたチェーンが金切り音を鳴らし、それが夜だとまるで亡者の悲鳴に聞こえるものだから、近所の子どもたちは｢地獄が近づいてくる｣と、これを恐れ、日が暮れるまでには家に帰ったという
105,2014/08/20,16:33,傲慢な態度で職務質問をしていた警官は身分証の｢高田健志｣という文字を見た瞬間、流れるように両手を前につき出して祈りのポーズを取り、手錠をかけるようせがんだ
106,2014/08/20,22:13,高田健志は雑誌のパワースポット特集に生物でありながら取り上げられた稀有な例である
107,2014/08/20,23:56,凍ったバナナと釘だけで一夜にして城を築き上げた高田健志は天守閣から朝日を眺めながら役目を終えたバナナの皮を丁寧に剥いた
108,2014/08/21,12:44,ピンポンダッシュ界における最高権威である高田健志はインターホンを拳で殴り、その場で座禅を組んで潔く待つという新しいスタイルを確立し、海外勢を取り入れることでオリンピック正式種目入りを狙った
109,2014/08/21,16:51,高田健志には名前をひらがなで書いていた時期が存在しない。幼稚園の頃、彼がクレヨンで描いた家族の絵からは｢おとうさん、おかあさん｣とあどけない字で書かれた横に行書で書かれた｢高田健志｣の四文字が確認できる。
110,2014/08/21,21:02,革命を企てた罪で捕えられた高田健志はあらゆる拷問に屈することなく、アイアンメイデンの中でいびきをかきながら眠った
111,2014/08/21,23:50,高田健志のグラビア撮影を担当していたカメラマンは彼の顔に一本の長いしわを発見した。注意深く見てみると、それは手のひらに収まりきらず顔まで這い伸びてきた生命線だった。
112,2014/08/22,12:24,新大陸発見にあたって原住民との争いは避けては通れない道だが、高田健志はその名を口にしているだけで日も暮れぬうちに民族のほとんどと打ち解け、月が出る頃には大陸一番の女を抱いていた
113,2014/08/22,23:33,高田健志は擬態能力にも優れている。飼い犬の食事量がある日を境に激増したことを不思議がった飼い主が犬をペットショップに連れていくと、それは犬に擬態した高田健志だった。
114,2014/08/23,20:24,クラスの男子がただのスカートめくりで満足していたのに対し、高田健志は事前にアポを取り、スカートの前で一礼してから滅菌したお箸でめくる一歩先の楽しみ方を心得ていた
115,2014/08/24,12:47,高田健志の怒りの表情を描くよう依頼された画家はどうしても彼の怒っている姿を想像できず、一か月後、数千枚にも及ぶ笑みを浮かべた高田健志に囲まれながらアトリエで首を吊って死んだ
116,2014/08/24,22:37,事業に失敗した高田健志はポケットの100円玉を握りしめて単身ラスベガスへ飛んだ
117,2014/08/25,16:38,「貝殻を耳に当てると波の音が聞こえる」馬鹿な女に言われるがまま、サザエの殻を耳に当てる高田健志。しかし、彼の耳に聞こえてきたのは神風特攻で海に散っていった仲間たちの悲鳴だった。
118,2014/08/25,20:01,ある隔離施設で末期のエボラ患者が突然、快復に向かうという奇跡が起きた。医療革命の予感を感じた医師が患者の血液を採取し、顕微鏡で観察するとそこには驚くべき光景が。なんとあの高田健志が丸腰の白血球たちを率いて、完全武装したエボラウィルスに拳一つで立ち向かっていたのだ。
119,2014/08/26,12:50,生後まもなく戦場に捨てられた高田健志は生まれて初めて見たものが戦車だった。彼は戦車を「お母さん」と呼び、ガソリンを母乳代わりにその日その日を暮らしてきた。そうして赤子ながら自らの力だけで終戦まで生き延びた彼は『奇跡の子』として鮮烈な子役デビューを遂げることとなった。
120,2014/08/26,23:25,年の数だけ豆を食べたりと世間が一家団欒ムードになる節分の日、高田健志は屋敷の地下牢で意地悪な養父に罪の数だけ鞭を打たれていた
121,2014/08/27,12:39,砲丸投げの名手である高田健志は戦時中、500機を越える戦闘機を砲丸で撃ち落とし、今もなお種子島でミサイル迎撃システムとして活躍している
122,2014/08/28,21:56,本来、高田健志は山奥にしか生息しない生き物だった。しかしある時、資源を求めた人間たちが彼の生息域を荒らすようになった。彼は争いを望まなかったが交戦中に誤って人間たちを食い殺してしまった。それ以来、人肉の味を覚えてしまった彼はカッターナイフを振り回して人里を襲うようになったという。
123,2014/08/29,1:32,花瓶の割れる音を聞きつけたナースが病室に駆けつけると、まだ傷も癒えていない高田健志がレギュラー番組の収録へ向かおうとベッドから這い出していた
124,2014/08/29,20:07,高田健志に抱き上げられた生まれたての赤ん坊は、すっかり人生に満足してしまい、スコップを手に取って墓を掘り出した
125,2014/08/29,23:12,東京フレンドパークに出演した高田健志は当たったパジェロを他の共演者に譲り、代わりにもらった「たわし」で刀を研いだ
126,2014/08/30,1:43,森を歩いていた木こりは一本の巨木を見つけた。腕に自信のあった彼は新しいチェーンソーの試し切りにちょうど良いと刃を入れてみた。しかし、引けども引けども倒れぬ巨木。疲れ果てた彼は降参気味に巨木を見上げ、腰を抜かした。巨木だと思っていたそれは高田健志の発達した右ふくらはぎだったのだ。
127,2014/08/30,16:08,翌月に誕生祭を控えた王は建築家、宝石商、高田健志の三人にこの祭典にふさわしい品を献上するよう求めた。すぐさま建築家は万里の長城さながらの城壁を持つ巨大な城を築き上げた。宝石商も負けじと、こぶし程もある大きなダイヤを用意した。高田健志は米を炊いて唐揚げを揚げた。
128,2014/09/01,16:42,新作映画の試写会に主演の高田健志がサプライズで現れると、会場は凄まじい熱気に包まれ、5km離れた病院でスプリンクラーが起動した
129,2014/09/02,1:50,1stステージで脱落したミスターSASUKE・山田勝己は、そり立つ壁を逆立ちで駆け上がる高田健志を見てイップスに陥った
130,2014/09/02,18:12,フィギュアスケート界屈指の実力を誇っておきながら公式大会には一切出場せず、水面が凍った日に限りロシアの湖に現れて優雅に舞う、高田健志という氷上の妖精に心を奪われる著名人は多い
131,2014/09/02,21:08,保育園のお遊戯会で3歳の高田健志が見せた迫真の昆布役は、他の子どもたちが演じる海藻類とは一線を画しており、ダシの香りが客席まで伝わってきたという
132,2014/09/03,17:29,高田健志に予防接種を行った看護師はあまりの血流の速さに注射針ごと右腕を持っていかれた
133,2014/09/04,23:34,子犬をかばってトラックに轢かれた高田健志はあらぬ方向に折れ曲がった腕を強引に動かし、ソシャゲのデータが入ったスマホを安全な道路外へ投げ捨てた
134,2014/09/05,1:44,燃え盛る家屋に一人飛び込んだ高田健志は、ベテラン消防士顔負けの手際のよさで主婦と火元の天ぷら鍋を救出し、何事もなかったかのように黒焦げのえび天を頬張った
135,2014/09/05,20:19,高田健志と握手を交わした大統領は帰国後、肘から下がなくなっていることに気づいた
136,2014/09/06,18:55,硫黄島でバーベキューをする馬鹿な若者を見た高田健志は肉と野菜が乗った鉄板を二本の腕で折り曲げて千羽鶴を作った
137,2014/09/08,1:38,ビリヤードを始めて早々に小さなテーブルでは満足できなくなった高田健志はキューを天高く掲げ、月を突いた
138,2014/09/08,21:42,高田健志はペット禁止の店内に豚を連れて入り、店員に注意されるとその場で豚をハムに変えた
139,2014/09/09,2:00,高田健志がドリンクバーで「お茶」のボタンを押すとドロドロに煮えたぎった溶岩が出てきた
140,2014/09/09,23:23,近所で川遊びをしていた高田健志少年は転んだ拍子にポケットに入れていたビスケットを四つに割ってしまった。一時は食べることも考えたが、少し泥で汚れていたし、またビスケットは家にたくさんあったため、思い切って川に捨ててしまった。四つの断片は現在、北海道、本州、四国、九州と呼ばれている。
141,2014/09/10,22:42,妊娠中期の妊婦にエコー検査を行ってみると10オンスのグローブを両手にはめた胎児と高田健志が、へその緒の所有権を巡ってリングで殴り合っていた
142,2014/09/11,22:00,高田健志は国民的アニメ『サザエさん』に高田健志役として長期に渡り出演し、磯野家を一度マルチ商法によって家庭崩壊まで追い詰めたことがある
143,2014/09/12,22:00,生まれてから一度も傷を負ったことがなかった高田健志は高校を卒業するまで絆創膏の使い方がわからず、よく水筒や冷蔵庫に装飾として貼っていた
144,2014/09/13,22:19,ある時、神は罪に重さを与えた。地球上の生命はその重さを体で支えることができず、ただただ潰れるのを待つばかりだった。そこに怪力を持て余した高田健志が現れた。彼は罪のほとんどを肩代わりし、背負いきれなかった罪を全生命に均等に分け与えた。これが重力の誕生である。
