No,日付,時刻,ツイート
145,2014/09/14,22:49,平家の怨霊を恐れた芳一は全身に般若心経を写して身を守ることにした。日が暮れ始め、まもなく写経を終えようという所に高田健志が通りかかった。大の高田ファンだった芳一は彼にサインをせがんだ。彼はこれを快く引き受け、写経し忘れていた耳にサインをした。結果、芳一は耳を失わずに済んだ。
146,2014/09/15,22:26,高田健志は武道を始めるや否や名だたる師範たちを次々と打ち破り、奪い取った道場の看板を木材にして軽井沢にコテージを建てた
147,2014/09/16,23:27,CIAに在籍中、高田健志がスパイ活動の際に特に気に入って使用していたコードネームは「高田健志」である。
148,2014/09/18,0:11,高田健志は「たかいたかい」をして赤ん坊をうっかり衛星軌道に乗せてしまったことがトラウマになっていて、ベビーカーを見ると手の震えが止まらなくなる
149,2014/09/19,0:15,高田健志が雪の日に田んぼの前を通りかかると、春が来たと勘違いしたカエルが土の中から飛び出した
150,2014/09/20,0:22,古代エジプトの遺跡から新たに発見された壁画には、人の身体に犬の頭をしたアヌビス神の横に、毒サソリを尻尾から食らう高田健志が独特のタッチで描かれていた
151,2014/09/21,0:22,高田健志がベッドに横たわると生気を取り戻した羽毛製品たちが部屋中を飛び回り、床中に糞尿をまき散らした後、窓の外へと飛び去っていった。寝床を失った高田はその日、腰痛と悪臭に苦しみながら糞尿まみれの床で寝た。
152,2014/09/21,22:46,フルマラソンの基準となる42.195kmは高田健志の歩幅であり、本来マラソンとは人間たちが高田健志の一歩を身をもって体験し、その大きさを学ぶ伝統的な儀式である
153,2014/09/22,23:48,この世における最高の福「高田健志」を引き寄せた招き猫は、肘に抱えていた爆弾を悪化させてしまい開幕戦の先発を辞退した
154,2014/09/24,0:09,「バッサリいってください」と注文を受けたカリスマ美容師・高田健志は、腰にぶら下げた刀を抜き放ち、要望通り客の頭を斬り落とした
155,2014/09/24,23:38,松尾芭蕉の俳句、「古池や蛙飛びこむ水の音」の「水の音」は蛙が池に飛び込んだ音と解釈されがちだが、実際は高田健志が芭蕉を水中に突き落した音である
156,2014/09/26,0:22,高田健志は人生に何度か死の淵を彷徨って三途の川を渡る船に乗ったことがあるが、そのたびに無賃乗船が発覚し、渡りきる前に川のど真ん中で降ろされている
157,2014/09/27,0:05,G8（主要国首脳会議）はフランス、アメリカ、イギリス、ドイツ、日本、イタリア、カナダ、ロシアの八か国から成り立っていたが、ロシアがクリミア侵攻などの問題を起こしたため、代わりに高田健志を入れた八か国となった
158,2014/09/28,0:15,運動会でケガをした7歳の高田健志は水筒に入れていた日本酒を口に含み、傷口に勢いよく吹きかけた
159,2014/09/28,23:52,コンビニ前でたむろしていた高田健志が南の空にガンを飛ばすと、日本列島に接近していた台風が進路を変えた
160,2014/09/30,0:14,高田健志は生まれてこの方、離乳食を食べたことがない。彼が食べていたもので近いものを挙げるとすればそれは泥である。
161,2014/10/01,0:18,昼食後、高田健志が爪楊枝で歯の掃除をしていると高層ビルの一部が奥の方から出てきた
162,2014/10/02,0:05,PRIDEで優勝し、総合格闘技の頂点に上り詰めた高田健志はその夜、更なる強者を求めて三十三間堂に土足で忍び込み、千手観音像の腕全てを得意の関節技でへし折った
163,2014/10/03,0:19,クワガタ捕りに来た少年が森の中に蜂蜜を塗った十字架を仕掛けておくと、翌朝全くお呼びでない高田健志が全裸で磔られていた
164,2014/10/04,0:09,白亜紀の地層から発掘された高田健志の糞の化石を調べたところ、ティラノサウルスのものと思われる骨が含まれていた
165,2014/10/06,23:50,宅配業者にハンコを押すようお願いされた高田健志は「これでええやろ？」と吸っていたタバコを受領印欄に押しつけた
166,2014/10/08,0:05,警察に追いつめられた怪盗・高田健志がビルの屋上で口笛を吹くと、救助に向かっていたドクターヘリが遭難者ほったらかしで彼の元に駆けつけた
167,2014/10/09,0:12,旅行中、金欠になった高田健志は「ちょっとATMで金おろしてくるわ」と言って厳島神社の賽銭箱に手を突っ込んだ
168,2014/10/10,0:20,高田健志は腕に止まった蚊をすぐに叩いたりはせず、客間に迎え入れて味の感想を求め、血液のさらなる品質向上を目指した
169,2014/10/11,0:27,ある産業スパイが処理速度の秘密を探るべくスーパーコンピューター「京」を解体したところ、そろばんを持った高田健志が正座で珠をはじいていた
170,2014/10/12,0:15,地獄に落ちた高田健志は血の池で溺れていた罪人たちに一から泳ぎの指導を行い、ひと月も経たぬうちに閻魔大王の前で見事なシンクロナイズドスイミングを披露してみせた
171,2014/10/13,1:23,戦場で弾傷を負った高田健志がアマゾン川河口に流れ着くと、たちまちジャングルの生態系は大きく乱れた
172,2014/10/13,23:58,ヨーグルトを媒介として高田健志の体に侵入した生きて腸まで届く乳酸菌たちは、豪雨の如く降り注ぐ胃酸になす術もなく、十二指腸の入口を眺めながら志半ばにして倒れた
173,2014/10/15,0:10,仏教の教えは高田健志の御言葉をそのまま模倣した言わばカバーソングのようなものであり、釈迦は現代で言うところのMay Jである
174,2014/10/16,0:01,スイーツバイキングのいかにも平和ボケした雰囲気が気に食わなかった高田健志は串に刺さったマシュマロを豚の生き血でフォンデュした
175,2014/10/16,23:55,スタイリストに今日の衣装を尋ねられた高田健志が「適当に似合いそうなのを持ってきてくれ」と頼んだところ、重量感のある鎧が台車に乗ってやってきた
176,2014/10/17,23:59,コンクリートで足を固められ東京湾に沈められた高田健志は周囲からヤクザの気配がなくなるまで息を潜め、その後見事なドルフィンキックで浮上した
177,2014/10/18,23:11,息止めのギネス記録に挑戦することになった高田健志はある池にやってきていた。池のほとりには栗の苗木が立ち並んでいる。スタッフの合図がかかるとすぐに彼は顔を沈めた。幾ばくの時が流れただろうか。彼が水面から顔を出すと、苗木だった栗の木は大樹にまで成長し、実は収穫の時期を迎えていた。
178,2014/10/19,23:42,白米だけの生活に物足りなさを感じた高田健志は、八百屋に並んだ野菜たちを片っ端から小脇に抱えた大樽に放り込んで塩漬けにし、仕上げに重石代わりの特大尿路結石をのせた
179,2014/10/20,12:00,未踏の地や新種の生物に発見者が名前を付けるように、宇宙に「宇宙」と、地球に「地球」と名付けたのは紛れもなく高田健志である
180,2014/10/20,22:21,ウサインボルトの走りを見て人類に可能性を感じた高田健志は「がんばれよ」と一言添えた手紙を包みに入れ、WiiFitトレーナーをジャマイカに発送した
181,2014/10/20,23:33,高田健志は待っていた。待っている間、することもないので美術品をこしらえた。待ち人は来ない。雨が降った。美術品が濡れてはいけないと城を建てた。待ち人はまだ来ない。彼は待ち続けた。気づくと手は皺だらけになっていた。そして、やがて彼は城の中で独り、灰になった。『ルーヴル美術館誕生秘話』
182,2014/10/21,19:50,酒を買ったがつまみがないことに気づいた高田健志は冷蔵庫からレモンを取り出し、大鷲の頭上で搾った
183,2014/10/21,21:00,高田健志を一目見た写真家は網膜に焼きついた彼の姿をフィルムに収めようと、何もない風景に向かって指が折れるまでシャッターを切り続けた
184,2014/10/21,23:59,球界を引退した高田健志はその後、現役時代以上に自らにオーバーワークを課し、たまりにたまった膝の水を路傍の花に注いだ
185,2014/10/22,20:42,忠誠を誓う主が存在しなかった高田健志だが生涯で一度だけ片膝をついたことがある。ダンボールの子猫に傘を差し伸べた時だ。
186,2014/10/22,22:36,高田健志と対峙した牛鬼は彼の一挙一動を見逃さまいと身構えていた。砂埃が目に入り瞬きをした次の瞬間、牛鬼は皿の上にいた。
187,2014/10/23,21:18,王宮に高田健志を招き入れたある国の王は無意識のうちに彼に玉座を勧め、自らの手でパイプ椅子を開いていた
188,2014/10/23,23:13,高田健志の家にバリアフリーは存在しない。あるのは心臓破りの坂とトゲの生えた手すりぐらいだ。
189,2014/10/24,23:14,重税に苦しむ市民に領主暗殺を依頼された高田健志は「昼飯までには終わらせる」とカップラーメンに湯を入れた
190,2014/10/25,12:02,アマゾンの奥地にはあらゆる外敵にも捕食されず、繁栄し続けている奇妙な蛾がいるという。その蛾は特別大きいわけでもなければ毒を持っているわけでもない。ただ一つ、世間一般の蛾と異なる点がある。羽模様がまるで高田健志の憤怒の表情に見えるのだ。
191,2014/10/25,21:04,ボウリング場にマイボールを持参した高田健志はハンドドライヤーで手を乾かすと、太平洋、大西洋、インド洋に指を入れた
192,2014/10/25,23:31,高田健志という能ある鷹は爪を隠さない。見られたところで獲物はすでに爪の中だ。
193,2014/10/26,20:24,チャイニーズ・シアター前にあるハリウッドスターたちの手形・足型を調べたところ、半数以上が高田健志のそれと一致した。あのジョニー・デップやアーノルド・シュワルツェネッガーは彼の別の人格なのかもしれない。
194,2014/10/26,23:22,高田健志を知らない者はきっと映画のスタッフロールを最後まで見ないのだろう。あの画面いっぱいに映し出される「小道具　高田健志」の文字を見逃すわけがない。
195,2014/10/27,21:52,高田健志は女を深く愛することができない。大抵の女は二度目のキスでアナフィラキシーを起こして死んでしまうからだ。
196,2014/10/28,22:44,海から上がった高田健志が耳に溜まった水を抜こうと頭を傾けると、少量の海水が流れ出た後にシロナガスクジラがぼとりと落ちた
197,2014/10/29,22:13,茶道を広めようと高田健志の元を訪れた千利休だったが、帰る頃にはすっかり「わび」も「さび」も忘れて、コーラとフィッシュ＆チップスに溺れていた
198,2014/10/30,21:07,スーパーから自宅までの間、高田健志に背負ってもらった足の悪い老婆はそれから数日間、高山病に苦しめられた
199,2014/10/31,22:03,高田健志が山頂の別荘で夕飯の支度を始めると、おろしすぎた大根が雪崩となって麓の村を襲った
200,2014/11/01,23:43,クリスマスの夜、プレゼントを配りにやってきた高田健志はテレパスで少年の望むものを読み取ると、靴下に体をねじ込んだ
201,2014/11/02,22:24,一服中、ふと縁側からの眺めにもの寂しさを感じた高田健志は灰皿にたまった灰を振り撒き、枯れ木に花を咲かせた
202,2014/11/04,22:05,日本列島の測量を命じられた高田健志はものの数分で距離を計測し終えると、ノートに「人差し指２本分」と記入した
203,2014/11/06,23:58,地球とコンビを組んでM1グランプリに出場した高田健志はNSC仕込みの「なんでやねん」で地面を割った
204,2014/11/08,23:10,手術台に立った高田健志はナイフとフォークでガン細胞を摘出すると、それを自家製オーロラソースに絡めて美味しく頂いた
205,2014/11/09,20:58,学校の七不思議に興味を持った高田健志はその一つである『彷徨う男』について調査を開始した。男の現れる時間帯、背格好や年格好を調べているうちに彼はあることに気づいた。「何もかもが俺に似すぎている…」そう、『彷徨う男』とは彼自身だったのだ。
206,2014/11/10,22:28,日本のバラエティ番組を見ていたNASA職員は驚きの声を上げた。高田健志というタレントの左手薬指に輝くそれは、数日前、宇宙空間から突如消失した土星の環だったのだ。
207,2014/11/11,23:36,"Q、世界には地球を何十回も破壊できる量の核兵器が存在していると言われています。それらを全て高田健志にぶつけるとどうなるか。
A、高田健志が深い眠りから目覚める。"
208,2014/11/12,23:10,「弁慶の泣き所」とは弁慶ほどの豪傑でも痛がって泣く急所、いわゆる「向こう脛」を指すが、弁慶を毎日のように泣かせていた高田健志からしてみれば「弁慶の泣き所」は「全身」である
209,2014/11/13,23:41,修学旅行当日、高田健志は心臓に埋め込まれた戒めの鎖のせいで空港の金属探知機を突破できず、１人地上から沖縄を目指した
210,2014/11/14,23:51,死後、冥界を彷徨っていたトップブリーダー・高田健志は三つ首の番犬ケルベロスと様々な犬種を交配させ、米粒サイズのチワワの開発に成功し、娯楽のない世界に空前のペットブームを巻き起こした
211,2014/11/15,23:05,誤って一匹の蜘蛛を殺してしまった高田健志はその日のうちに葬儀屋と連絡を取り、後日、各界の著名人を招いて早すぎる死を惜しんだ
212,2014/11/20,20:36,百発百中の占い師である高田健志はある日、世界の終わりを予言してしまった。事態を重く見た彼は未来を変えるべく、タイムマシンに乗り込んだ。それから未来がどうなったのか、彼がどうなったのかを知る者はいない。ただ、近頃「百発九十九中」が売り文句の占い師が都を賑わしているらしい。
213,2014/11/21,23:01,ある灯台守がいつものように番をしていると、船が突然進路を変えるのが見えた。慌てて船の行く先を見るとなんともう一基、灯台があるではないか。新しくできた灯台だろうか。その日は釈然としないまま業務を終えた。翌日、船の向かった地を訪れると、後光さしまくりの高田健志が一人海を眺めていた。
214,2014/11/22,21:49,90年代初頭、高田健志が描いた一枚の絵画がオークションにかけられた。落札額は際限なく高騰していき、結局折り合いがつかないまま翌日に持ち越しとなった。オークションは今もなお続いている。
215,2014/11/23,23:01,高田健志がロンドン市街で雄叫びを上げると、日本文化を知らぬ異国の民たちが一斉に立ち止まり、二礼二拍手一礼をした
216,2014/11/24,21:03,"【その歴史教科書、正しいものですか？】
近頃、政府によって改ざんされた歴史教科書が出回っているようです。
そこで簡単な判別方法をご紹介します。
1、適当なページを開く
2、「高田健志」の名前を探す
これだけです。
見つからない場合はすぐに焼き払って下さい。
それは偽りの歴史です。"
217,2014/11/25,23:14,ある意地の悪い華族が高田健志を自宅に招き、「1時間私を楽しませてみせよ」と大きな砂時計を逆さにした。もちろん平民の話を最後まで聞くつもりなど彼にはなく、頃合いを見て追い返してやるつもりであった。そろそろ5分経ったと見た彼は「つまらん」と立ち上がった。砂はすっかり落ち切っていた。
218,2014/11/26,22:04,ある辺境の村を観光していた高田健志は人手が足りないということで急遽、祭りに参加することとなった。その夜、神が神輿を担いだ。
219,2014/11/27,21:56,高田健志が天も地もない真っ暗な世界にホタルを数匹放つと、そこに光が生まれ、昼と夜ができた
220,2014/11/28,21:26,高田健志を乗せたリムジンが奈良の県境にさしかかると、東大寺であぐらをかいていた大仏が下座へ移って正座をした
221,2014/11/29,22:46,"【これが世界のヒーロー高田健志だ！】
目…千里先を見通す
耳…どこにいても助けを呼ぶ声が聞こえる
口…開けばたちまち諺ができる
腕…力が強すぎて愛する者を抱きしめられない
腰…手の施しようがない腰痛
汗…1粒でレモン2000個分のビタミンC
足…讃岐うどんのコシはここから生まれる"
222,2014/12/01,22:09,織田の軍勢を前にした高田健志はその数が万に満たないことを確認すると、退屈そうな様子で兜の緒を緩めた
223,2014/12/02,22:06,ある少年が「高田健志を殺してしまった」と交番に駆け込んだ。事の顛末を説明するも、警官が全く相手にしないので、少年は凶器のナイフを机に出した。しかし、べったりとついていたはずの血が見当たらない。それを見て「夢でも見ていたんですよ」と笑う警官の顔はいつの間にか高田健志に変わっていた。
224,2014/12/03,23:29,将来、国家の機密を扱う立場になることを確信していた幼い高田健志は、誰に教わるでもなく、寝言を暗号化するようになっていた
225,2014/12/04,22:43,仮に高田健志が分子レベルで分解され、肉眼で確認できないほど小さな存在になろうとも、万人はそれを「高田健志」だと認識することができる
226,2014/12/05,22:09,獄中で生まれ、獄中で育った高田健志は牢より外の世界を知らなかった。ある日、彼に興味を持った学者が刑務所を訪れた。真っ暗な牢を前に学者は尋ねた。「空は何色だと思いますか？」少し考えて彼は答えた。「空ってなんですか？」学者は涙を流しながら、空の雄大さについて語った。
227,2014/12/06,22:07,"老人「孫の手は便利だ。かゆいところに手が届く」
主婦「孫の手は便利だ。隙間のホコリに手が届く」
高田健志「孫の手は便利だ。敵の喉元に手が届く」"
228,2014/12/07,22:01,万人がその結果に一喜一憂する宝くじなど、高田健志にとっては300円と2億円の交換作業にすぎない
229,2014/12/08,23:36,一切の光を遮断した部屋にアサガオの鉢を置き、水と高田健志の微笑みを与えて育てたところ、室外で育てたものと同様の成長を見せた
230,2014/12/09,22:00,楽器を破壊するパフォーマンスが人気であった60年代のロックシーンで、創造の美学を貫く者がいた。高田健志だ。彼は会場にギターを持ち込まない。持ち込むのは木材と工具。その場で一本のギターを作り上げるのだ。それ故ライブの大半は木を切る音である。観客たちは恍惚とした表情でそれを聴くのだ。
231,2014/12/11,22:14,秒刻みのスケジュールをこなす高田健志が合間を縫って予定帳を確認したところ、今月できる呼吸の回数はわずか5回であった
232,2014/12/12,22:48,虫捕りをしていた少年が庭の石を持ち上げると、石の下には高田健志の顔をした芋虫がうごめいていた。気味が悪くなった彼は、石を芋虫に叩きつけて、部屋に逃げ帰った。石の下からは緑色の体液が、彼の跡を追うように流れ出していた。翌朝、彼は顔を洗おうと蛇口をひねった。水は綺麗な緑色をしていた。
233,2014/12/13,23:15,頭の悪い政治家たちに政策の助言を求められた高田健志は、玄関に置かれた彼らの靴を持ち出し、ビルの屋上に並べ立てた
234,2014/12/14,22:34,衆院選投票が終わり、取材班が高田健志の事務所を訪れると、開票前にも関わらず、支援者たちは万歳を始めていた
235,2014/12/16,0:00,ある寒い夜、高田健志がチベットの奥地で息を引き取った。僧たちは死亡を確認するとすぐに、彼が今際の際に託した桐の箱を開いた。中には「東の国、大きな唇」と書かれた一枚の紙。めいめいが新たな主の姿に思いを馳せた。そして、1985年12月16日、高田健志20世（現・高田健志）が誕生した。
236,2015/01/01,19:13,交遊関係の広い高田健志の1年は、70億の葉書を書き上げることに費やされる。我々が昨年の疲れを癒すこの瞬間にも、彼は腱鞘炎と戦いながら、翌年の年賀状の執筆活動に励んでいるのだ。
237,2015/01/02,22:03,高田健志は除夜の鐘を一度しか鳴らさない。一撃で煩悩も鐘も消し飛ぶからだ。
238,2015/01/03,22:01,高田健志が餅を詰まらせた老婆の背をさすると、全身の細胞がみるみる若さを取り戻し、老婆は健康な肉体を手に入れ、窒息死した
239,2015/01/04,22:00,同じ映画を100回も見れば、その感動も薄れてしまうように、高田健志は通算46億回目となる初日の出を虚ろな目で眺めていた
240,2015/01/05,21:30,少子高齢化が叫ばれるようになって久しいが、高田健志から見た日本は今も昔も変わらず、彼とその他若造である
241,2015/01/06,23:00,獅子は我が子を谷に落とし、這い上がってきた子を育てるという。ある獅子が例の如く、8匹の子を谷に突き落した。やがて1匹が生還した。獅子はこの1匹を大層可愛がった。たまに2本の足で歩くのを見たが、さして気にならなかった。結局、獅子は自らが食われるまでそれが高田健志とは気づかなかった。
242,2015/01/08,22:00,8月31日、昏睡状態だった高田健志少年が病院のベッドで目を覚ました。彼は覚醒するや否や、獅子奮迅の活躍を見せ、夏休みの宿題を大半片付けてしまった。が、絵画だけは間に合わず、やむなく入院中のレントゲン写真を提出した。写真はその後、金賞を受賞。彼の肋骨は多くの芸術雑誌で表紙を飾った。
243,2015/01/09,22:00,文房具屋でボールペンを眺めていた高田健志は「試し書きしていいですか？」と店員に尋ねると、ポケットからドナーカードを取り出し、臓器全てに丸を付けた
244,2015/01/10,22:00,神仏のような扱いに悩まされていた高田健志は、脇に挟んでいた体温計を大衆の目前に掲げ、平熱36度の人間であることを主張した
245,2015/01/11,20:12,「展示品より目立つ」という理由で解雇通告された学芸員・高田健志は、その場で自らの肉体を石膏で塗り固め、等身大彫刻として再就職を果たした
246,2015/01/13,23:00,スポーツ史に名を残すアスリートたちは皆、高田健志の何気ない日常を記録したホームビデオから、筋肉の使い方を学んだ
247,2015/01/14,22:01,高田健志がタバコをくわえると、オリンポスの山で待機していた第一走者がトーチを手に取り、彼に火を届けるべく聖火リレーが始まった
248,2015/01/15,22:00,両腕に残る注射痕から薬物使用疑惑が浮上した高田健志だったが、後に会見を開き、ミュータントとして捕えられ、投薬実験を受けた悲しい過去を明かした
249,2015/01/16,23:10,アイドル時代に売れ残った高田健志のブロマイドは現在、全国各地の小学校で無料配布され、あらゆる外敵を寄せ付けない防犯グッズとして活躍している
250,2015/01/17,22:00,テロ組織から「演説の日に高田健志を暗殺する」という脅迫文が届いた。演説中止も検討されたが協議の末、彼と瓜二つの影武者を演壇に立たせることとなった。当日、影武者が壇上に現れると、その額を一発の銃弾が貫いた。聴衆たちは驚くどころか冷静にこう言った。「本物なら銃弾をキャッチしたはずさ」
251,2015/01/20,22:00,高級レストランで食事を終えた高田健志は、1円単位の割り勘で揉めるキリスト一行の前に割り込むと、最後の晩餐の会費をカードで一括払いした
252,2015/01/21,22:01,高田健志がシンガポールの空港に足を踏み入れると、だらしなくヨダレを垂らしていたマーライオンが勢いよく血を吹いた
253,2015/03/28,23:52,押し寄せる波は長い年月をかけ、大地を人の形に削り上げた。人型の大地には名前がなかった。ただ当てもなく大海原に浮かんでいるだけであった。二十歳を迎えた大地は名前を探す旅に出た。ある時は海鳥に尋ね、またある時は西吹く風に尋ねた。季節は巡って、春。高田健志の体には今日も桜が咲いている。
254,2015/03/30,22:40,筆箱、上靴、体操着、あらゆる学用品に刻まれた「1年2組 高田健志」は、「Made in Japan」を上回る最高品質の証であり、黄ばんだ白ブリーフは各国セレブ愛用の品である。
255,2015/04/01,23:13,高田健志が「世界を滅ぼす」と宣言した。人々はパニックに陥り、世界中から高田排除の声が上がった。やむなく政府は核の使用を決断。程なくして「目標を殲滅した」とのテロップが画面上を駆け巡った。人々は安堵した。ふとカレンダーを見ると4月1日であった。彼らはようやく彼のジョークを理解した。
256,2015/04/03,22:49,ラジオの臨時ニュースが「高田健志到着セリ」と伝えると、騒々しい空襲警報が鳴りやみ、防空壕の外から君が代が聞こえてきた
257,2015/04/04,22:58,高田健志は自分が何者か知らなかった。人より少しばかり体が大きく、腕も脚もなかったが、心の真ん中には自分は人間だという自信があった。ある時、彼の体に激痛が走った。蜂にでも刺されたのだろうか。痛みの方に目をやると、傷口から滾々と水が湧き出していた。アルプスの一角だと知った瞬間だった。
258,2015/04/06,22:37,翌日の男子長距離決勝に向けて、軽くウォームアップしたくなった高田健志は、自らに莫大な懸賞金をかけ、手配書を市中にばら撒いた
259,2015/04/07,22:57,「楽になるツボを押してくれ」マッサージ店を高田健志が訪れた。店員は注文通り、疲れに効くツボを一通り押した。翌日も彼は店を訪れた。「楽になるツボを押してくれ」3日目。彼は同じように言うと、店員にナイフを手渡した。全てを理解した店員は刃先を彼の喉に当て、押した。死に顔は安らかだった。
260,2015/04/08,22:15,一か月に渡って高田健志を研究した建築家は、彼の骨格を「耐震技術の結晶」と評価し、未来の家づくりに役立てるよう提案した
261,2015/04/10,23:01,腕のパーツを取り付けるとカチッと音がした。少年は完成したばかりのプラモデルを自慢してやろうと勢いよく家を飛び出した。クラクションが鳴り響いた。カチッという音で目を覚ました。少年は体の無事を確認すると、友人宅の方へ走っていった。高田健志は壊れたパーツをしばらく眺め、ゴミ箱に捨てた。
262,2015/04/11,22:04,高田健志がよく目が合う旅人たちに何故こちらを見るのか尋ねた所、輝く右の瞳が北極星と呼ばれていることが分かった
263,2015/04/13,22:42,高田健志に対して視力検査が行われた。検査員の質問に彼は「腹が減った。早く終わらせてくれ」と答えるだけだった。大きな文字を見せても同じであった。それどころかもっと汚い言葉を吐くようになった。開始から1時間が経った頃、誰かの腹が鳴った。心を見られていたことに気づいた検査員は赤面した。
264,2015/04/14,21:54,【ニュース】高田健志氏の『泣きっ面に蜂』活動が話題を呼んでいる。同活動は飢餓に苦しむ子供達に蜂蜜を届けるもので、これまでに18の地域に100万トンの蜂蜜が届けられた。現地の反応は「蜂蜜はもういい」、「そのビンを近づけるな」と上々だ。諺がポジティブな意味になる日も近いかもしれない。
265,2015/04/19,22:20,下校途中だった小学一年生の高田健志は、左右確認ついでに暴漢を蹴散らすと、勝利の拳を掲げて横断歩道を渡った
266,2015/07/07,23:08,村には巨大な笹があった。それは七夕になると「高田健志になりたい」と書かれた短冊で埋まることで有名であった。ある七夕の夜、ズシンという音が村中に響いた。重みに耐えかねた笹が倒れたのだ。心の拠り所を失い、項垂れる村人たちの上を「普通の人間になりたい」と書かれた1枚の短冊が駆け抜けた。
267,2015/07/09,23:33,高田健志という物乞いの少年がいた。少年は毎朝空き缶を抱えて市場へ向かい、それを涙でいっぱいにして帰っていた。「恵んで下さい」と懇願する少年の声に耳を貸す者はいなかった。少年が姿を見せなくなった頃、近くに一筋の川ができた。「神の恵みだ」と喜ぶ人々の後ろを汚れた空き缶が流れていった。
268,2015/07/12,22:25,旅芸人の男がいた。男は青ひげで見た目が大層悪かった。男を不憫に思った高田健志は彼にマスクを授けてやることにした。「芸を磨くのです」マスクをつけた男は人気者になった。そして次第に努力を怠るようになっていった。男が稽古を全くしなくなった頃、マスクの表面には青ひげが浮かび上がっていた。
269,2015/07/18,23:58,男の元に同窓会の案内状が届いた。話し好きだった男は参加を即断。しかし当日、会場にいたのは年齢も出身校もバラバラの人たち。男たちが互いに愛想笑いを向けていると、1人の男が壇上に上がり、マイクを取った。「主催者の高田健志です」その場の人間は口を揃えた。「ああ、５年生の時に転校した…」
270,2015/10/10,21:00,あるガンマンが高田健志に決闘を申し込んだ。彼には銃では誰にも負けない自信があった。一歩踏み出した時、一つの不安が彼の脳裏をよぎった。「負けるかもしれない」敗北を恐れた彼は二歩目で振り返り、引き金を引いた。銃弾はあっさり背中を貫いた。倒れゆく高田健志の後ろには足跡が四つ続いていた。
271,2015/10/12,22:01,ヒーローショーが行われていた。子どもたちは熱心にヒーローを応援し、悪の打倒を心待ちにしていた。ショーの中ごろ、悪役の仮面が外れるというハプニングがあった。仮面の下から高田健志の顔が現れると、子どもたちは一斉にヒーローの応援をやめ、ショーが終わるまでの間、悪の繁栄を願い続けた。
272,2015/10/15,20:39,高田健志は穴を掘っていた。昨晩、愛犬が死んだのだ。しばらく手を働かせていると、何か土とは違うものがシャベルの先に当たった。それは心臓であった。彼はポケットから布きれを取り出し、丁寧に汚れをふき取ると、時折激しく脈打つそれを胸の内にしまい込んだ。以後、世界で地震は確認されていない。
273,2015/10/17,20:05,「緊張は全くしていないです」そう言って人類の命運をかけた戦いに臨む高田健志の手のひらには人の字型の穴があいていた。
274,2015/10/21,20:00,民情視察の一環として防具屋を訪れた高田健志は、店一番の盾を素手で二つに引き裂くと、商品全てに「こちら側のどこからでも切れます」の注意書きを入れるよう命じた。
275,2015/12/15,22:33,「この塗り絵つまんないよ」と幼い高田健志が母に見せたのは、正解ルートだけ塗りつぶされた難解な迷路だった。
276,2015/12/16,0:00,解き終えた迷路を不満そうに見せる高田健志に母は、「つまらないのは当然よ。前に一度解いているもの」とそれが自らの産道であることを明かした。
277,2015/12/17,22:30,【くの字の遺体】鏡を見た男は慌てて礼をした。顔が高田健志になっていたのだ。しかし、これでは鏡に映る唯一神も最敬礼の格好になってしまう。気づいた男が姿勢を戻す。すると目前に高田健志である。再び礼をせねばと頭を下げる。敬礼の堂々巡りに陥る。翌月、45度に曲がった男の遺体が発見された。